Requirement Text,Type
The app shall run on a smart phone with Android OS least version 2.3 .,NFR
"All layout shall be according to the TU/e corporate identity, unless in conflict with the guidelines of requirements UCOR003-UCOR006.",NFR
The icons shall be according to the Android Icon Guidelines.,NFR
The user interfaces shall be according to the Android User Interface Guidelines.,NFR
"The Twitter ""tweet"" interface shall be according to the Twitter Guidelines.",NFR
"The Facebook ""like"" interface shall be according to the Facebook Guidelines.",NFR
The campus map shall cover the campus of the TU/e.,NFR
The campus map shall cover the central train station of Eindhoven.,NFR
A new stylistic map must have the right dimensions.,NFR
A new stylistic map must be geographically correct.,NFR
News will be restricted to what is available in the feeds on the list of news RSS-feeds.,NFR
Agenda will be restricted to what is available in the feeds on the list of agenda RSS-feeds.,NFR
Information about a certain person will be restricted to what is available on the employee pages of the TU/e Encyclopedia.,NFR
The information and the search methods of the Encyclopedia-app will be restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,NFR
The information and the search methods of the Student Handbook-app will be restricted depending on file format of the handbook-information.,NFR
"The search response time for the system must consistently be within two seconds, with an ideal goal of one second, based on measurments from 1000 searches during testing.",NFR
"System dependability ensures users are informed of any issues for trusted system performance , measured during testing and prioritized highly.",NFR
"The application should ideally use less than 10 MB of storage space, with a hard limit of 20 MB.",NFR
"The applications memory usage on the mobile operating system should ideally be below 10 MB, with a strict limit of 20 MB during operation.",NFR
"The system should reliably deliver accurate search results in over 98% of cases, aiming for 99% or even perfect accuracy during operation",NFR
"The system should be accessible to users more than 98% of the time, ideally aiming for 99% or even continuous uptime.",NFR
"
The application requires an internet connection to function.",NFR
The application requires a GPS connection for functionality.,NFR
Login communication must be 100% encrypted to prevent usernames and passwords from being intercepted during data exchange between the application and server.,NFR
The restaurant owner login system must always prevent unauthorized access by notifying users of failed login attempts with non-existent accounts.,NFR
The admin login system must always block unauthorized access and notify admins of failed login attempts with non-existent accounts.,NFR
"To prevent unauthorized access, restaurant owner accounts will be locked for 30 minutes after three failed login attempts, disabling login functionality during that period.",NFR
"Admin accounts will be secured by a 30-minute lockout following three failed login attempts, preventing access from that IP address during the lockout period.",NFR
"The system will enforce unique usernames during user account creation, prompting users to choose a different username if their desired one is already taken.",NFR
"Restaurant owner account creation prioritizes security by enforcing unique usernames, requiring them to choose a different option if their desired name is unavailable.",NFR
"The application's code structure should be designed for easy extension, facilitating the addition of new features.",NFR
The application will require well-defined test environments to ensure thorough testing of its various functionalities.,NFR
The application should be designed for easy porting between iOS and Android platforms.,NFR
"The system must support 10,000 concurrent users with a maximum response time of 2 seconds.",NFR
"The system will be developed using Waterfall methodology, Object-Oriented Programming in Java, targeting Android devices 2.3 onwards with a mandatory internet connection.",NFR
​ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR
The overall accuracy of the Web API’s response will be measured using a developer-made testing set.,NFR
The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.,NFR
The accuracy of the Generic Question Construction​ part will be close to 80%,NFR
The system will be designed in such a way that the algorithms for the four main units will be easily swapped out.,NFR
"A Drexel University Web API is being designed to answer questions about campus facilities, staff, policies, dining, and food trucks, with accuracy ranging from 40% for food trucks to 80% for generic question construction.",NFR
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds",NFR
"The connection between the Web API and the programs will use HTTPS, for security.",NFR
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,NFR
The search feature should be prominent and easy to find for the user.,NFR
"The different search options should be evident, simple and easy to understand.",NFR
Users should be able to easily understand and select results from the list with just a single click.,NFR
"Map results should be clear and user-friendly, allowing selection of any pin with a single click.",NFR
"The information link for each result should be clear, easy to identify, and open with just a single click.",NFR
The user interface should be GUI based.,NFR
